nama_warung,daerah,kategori,price_level,rating,rating_count,contents
Ost Coffee MERR,Mulyorejo,cafe,Sedang,4.6,658,"Kesini untuk meeting.
Suasana lantai 2 (dekat akuarium) kurang nyaman karena suara akuarium berisik, kemungkinan dari pompanya.
Pelayanan lama, karena barista hanya 1.
Untuk ukuran coffee shop yang lumayan ramai pengunjung, tapi yang handle cuma 1 rasanya kurang.
Price list yang tertera belum include tax."
Ost Coffee MERR,Mulyorejo,cafe,Sedang,4.6,658,"mampir kesini bentar karena mau ada urusan dikampus, tapi suprisingly malah nemu tampat cantik!"
BFC Kantin ITS Surabaya,Keputih,restaurant,Tidak Diketahui,4.5,2,"Perlu diperhatikan  lingkungan sekitar. Banyak tanaman liar yang perlu di rapikan, agar tidak terkesan kumuh"
BFC Kantin ITS Surabaya,Keputih,restaurant,Tidak Diketahui,4.5,2,BFC(?)
Kedai Kopi Cengengesan,Keputih,coffee_shop,Murah,4.4,582,"Tempat nyaman dan luas. Lumayan buat nongkrong dan ngobrol. Pilihan minumannya banyak, berbagai jenis kopi, teh. Ada menu makanan juga, nasi goreng, penyetan dengan berbagai jenis lauk. Harga cukup terjangkau. Pelayanan baik. Tempat parkir luas."
Kedai Kopi Cengengesan,Keputih,coffee_shop,Murah,4.4,582,"Tempatnya enak untuk hangout atau nugas, harga terjangkau, dekat dengan kampus ITS Sukololo, wifi kenceng, petugas ramah"
Kedai Kopi Cengengesan,Keputih,coffee_shop,Murah,4.4,582,"Tempat nya nggak rame juga nggak sepi. Banyak cowok nya.  Tapi juga banyak cewek nya.  Menu nya murah dan enak.  Free wifi buka jam 12 sampe 4 pagi.  Full musik,  dan bisa nobar bola.  Cocok buat ngerjakan tugas kuliah..  Seruuu abis lah pokok nya"
Kedai Kopi Cengengesan,Keputih,coffee_shop,Murah,4.4,582,"Tempatnya cukup enak, banyak tempat duduknya, terdapat koneksi internet, pilihan menu juga bermacam-macam, parkir luas. Kalo pas sepi nih tempat bakal enak banget dengan koneksi internet kenceng dan ngobrol enak.
buat yang susah nyari, patokannya di seberang cafe ini ada dinas pemadam kebakaran pos keputih"
Kedai Kopi Cengengesan,Keputih,coffee_shop,Murah,4.4,582,"Banyak orang, tempat enak, murah meriah, beli susu jahe cuman 6k. Terus full musik, enak buat nongkrong bareng atau berduaan sama pacar. Buat ngerjain tugas kuliah juga enak. Terus itu ya ada colokannya, ada wifinya juga. Pokoknya dimanja."
Soto Ayam Barokah,Keputih,indonesian_restaurant,Tidak Diketahui,4.5,51,Sotonya lumayan enak. Untuk harga 12rb (pas awal jaman saya maba 10rb. Naik karena kebutuhan ikut naik juga cuy..wkwk) soto ayam ini ada di wilayah kanpus atau kantin pusat ITS. Ada sejak jaman ITS masih ada diwilayah balewerti. Sekarang udah pindah ke kampus ITS Sukolilo. Gak kalah sama sotonya cak har. Hehehe
Soto Ayam Barokah,Keputih,indonesian_restaurant,Tidak Diketahui,4.5,51,"Cabang dari yang ada di Keputih rasanya emang enak tapi jarang makan yang disini entah kenapa, lebih suka yang di Keputih"
Soto Ayam Barokah,Keputih,indonesian_restaurant,Tidak Diketahui,4.5,51,Soto khas jawa rasa ayamnya nendang banget. Harga sangat oke
Soto Ayam Barokah,Keputih,indonesian_restaurant,Tidak Diketahui,4.5,51,Warung soto di ITS yang sudah ada sejak masa awal ITS berdiri bahkan sejak kantin ini belum ada
Soto Ayam Barokah,Keputih,indonesian_restaurant,Tidak Diketahui,4.5,51,Soto Ayam Varokah - Very Barokah. Soto Enak di sekitaran ITS.
Ada Apa Dengan Kopi (AADK),Kedungdoro,coffee_shop,Sedang,4.7,3350,"Cafe kopi kekinian tidak jauh dari tunjungan. Kopi cukup enak, snack platter juga oke. Harga cukup tinggi namun sesuai dengan kualitas. Tempat nyaman namun tidak terlalu luas. Servis cukup baik dan kopi langsung dibuat serta langsung jadi, snack dan makanan agak lama baru keluar. Recommended untuk nongkrong santai bareng teman dan rekan kerja."
Ada Apa Dengan Kopi (AADK),Kedungdoro,coffee_shop,Sedang,4.7,3350,"Pertama kali ke AADK yang di Surabaya. Biasa nya yang di Malang.. wow tempat nya luas, setiap spot aesthetic. Hhe mungkin kalau ke sini malam view lebih tcakep.. hhe sukses selalu AADK Tegalsari 🫶🏻"
Ada Apa Dengan Kopi (AADK),Kedungdoro,coffee_shop,Sedang,4.7,3350,"Tempat ngopi santai dengan suasana cozy dan kekinian. Pilihan kopinya beragam, tempatnya luas dengan area indoor, outdoor, dan rooftop yang nyaman buat nongkrong atau ngobrol lama. Cocok buat ngopi sore, kerja ringan, atau kumpul bareng teman."
Ada Apa Dengan Kopi (AADK),Kedungdoro,coffee_shop,Sedang,4.7,3350,"tempatt ngops, nongkrong, nugas, ngedate, ngegabut disini udh palingg comfortable👍suka dan sering bgt kesini
krn harga yg murce poll, pelayanan ramah, tempat cozy, dan pastinyaa cocok buat semua kalangan
topp bgt kalau ada bintang 10 🙌✨"
Ada Apa Dengan Kopi (AADK),Kedungdoro,coffee_shop,Sedang,4.7,3350,untuk pelayannannya oke banget.dan suasana nya nyaman pol dan cozy untuk nongki. makanannya oke lah. cuma di pasta nya aja kurang semoga ditingkatkan lagi ya
Warung KANE,Keputih,restaurant,Murah,4.8,501,"Salah satu rekomendasi tempat makan sekitaran ITS. Konsepnya prasmanan, tapi diambilin. Tempatnya di lantai dua (lantai satunya dijadiin lahan parkir dan dapur). Parkir gratis.

Pilihan makanan banyak dan harganya tergolong ramah di kantong mahasiswa. Kalau di jam jam makan siang lumayan rame dan ngantri, kadang tempat duduknya ga cukup, tp ga lama nunggunya kok. Menu makanannya beragam, ayam, sayur, sambel, telur, process food kayak nugget, sosis, juga ada. Rasanya juga enak. Kurang tau bisa pembayaran cash atau ngga, yang pasti qris-able. Pelayanan standar. Ada jual snack juga."
Warung KANE,Keputih,restaurant,Murah,4.8,501,"Memang sih lokasinya masuk ke gang kecil, tapi ternyata parkirnya lumayan gede untuk ukuran motor. Tempatnya juga nyaman sekelas warung atau warteg. Pilihan lauknya banyak. Sayurnya juga banyak. Porsinya cukup banyak. Harganya murah meriah...
Update Juli 2024: warungnya sudah lebih megah daripada sebelumnya, tempat makan pindah di lantai 2, dan bener kata komenan2 sebelumnya, pelayannya JUTEK JUTEK banget"
Warung KANE,Keputih,restaurant,Murah,4.8,501,"Makanannya enak cuman yang disayangkan attitude penjulanya, saya cuma gk jadi makan ditempat pgn dibungkus pas lg ngambil nasi kok mukanya judes gitu sambil jeda sebentar lihatin saya, wong lauk/sayur jg blm dituang kok apa susahnya. Buat tempat jg rasanya kurang enak karena yg ngerokok jadi satu tempatnya sama yg gk ngerokok, minimal ada exhaust atau arah kipas ke arah luar jadi yg rokok ditempatkan di ujung dan yg tidak merokok bisa makan tanpa kena asap rokok."
Warung KANE,Keputih,restaurant,Murah,4.8,501,"Makanannya lumayan lengkap, kebanyakan gorengan gitu kayak nugget, sosis, otak2, tempe, tahu, dll. Sosis asam manis jg ada, itu enakk menurutku. Pokoknya makanan di sini tuh tipe-tipe kesukaan anak muda lah pokoknya.

Sayurnya ada kayak sop, tauge, kacang panjang, sama lodeh. Kalau minumnya ada es teh manis, atau sejenis pop ice gitu banyak pilihannya

Kalau kesini seringnya lumayan rame tapi antrinya cepet kok. Bisa makan di sana atau dibungkus, boleh ga pake nasi juga kalau dibungkus. Dan fyi yang makan di tempat tuh cowo2 kebanyakan.

Ada tempat parkir sama tukang parkirnya yang helpful, dan gratis ga perlu bayar."
Warung KANE,Keputih,restaurant,Murah,4.8,501,"Salah satu warung unik yang ada di daerah keputih. Makanan nya enak, terjangkau, yang jadi poin utama adalah pelayanan yang sangat ramah. Jadi kalau belum pernah ke warung KANE, jangan bilang pernah ke keputih :-D

*Layak untuk dicoba dan gak akan menyesal*"
Ikan bakar keputih kh ahmad dahlan,Keputih,indonesian_restaurant,Murah,4.4,2764,"Buat rasa cukup bisa diekspresikan dengan ""lumayan lah ya"" dengan harga 23k untuk gurami telur asin dan nasi putih 5k belum include ppn. Untuk kipas jg banyak jd ya gk begitu gerah. Lama waktu dari pesan hingga sampai ke meja sekitar 13 menitan. Untuk parkir yang disayangkan itu tidak resmi dan berbayar, padahal dulu gratis. Sudah saya minta karcis kepada jukirnya namun tidak diberi (sesuai perda surabyaa no 3 2018 wajib ada), toh tidak dibantu juga saat mundur. yasudah saya tidak bayar."
Ikan bakar keputih kh ahmad dahlan,Keputih,indonesian_restaurant,Murah,4.4,2764,"Makanannya enak puoll dan porsinya worth it sesuau harganya. Menunya juga punya banyak macem seafood, ayam, iga, dll. Pelayanannya juga bagus, gak terlalu lama menunggu.

Sayang tempatnya kurang luas dan panas, karna atapnya pake asbes, padahal kipas anginnya udah banyak."
Ikan bakar keputih kh ahmad dahlan,Keputih,indonesian_restaurant,Murah,4.4,2764,"Selama ini saya hanya sering lewat, sampe akhirnya saya coba makan disini dgn teman saya...

Untuk tempat sendiri cukup besar ya, ada area untuk lesehan dan yg pake kursi. Dan disemua area tempat duduk itu disediakan colokan (the best part😁) cukup nyaman juga, walaupun ya rada bising ya, mungkin karena jalan cukup rame kali ya, tapi okelah...

Menu makanan dan minuman sendiri cukup variatif, baru ini mungkin saya liat ada kedai makan merakyat gini, punya minuman yg bisa dibilang ala cafe banget wkwkwkkw... Jadi nya banyak anak2 muda kemarin yang makan, ngobrol dan nongkrong lama disini. Entah ada wifi atau gak ya, saya lupa tanya kemarin.

Untuk rasa makanan nya, yah bisa dibilang hampir sama lah yah dgn makanan pinggir jalan lainnya, cuman yg membedakan, isi/porsi yang ditawarkan, topping dari makanan itu sendiri, dan beberapa side dish, yg bisa dibilang buat yg merasa kurang dgn makanan nya, cuman gak mau pesen makanan yg porsinya banyak, yah ini solusi nya.. Cukup kaget juga, side dish nya lumayan banyak.. Dan semua nya enak... Keren 😎

Pelayanan nya ramah, oke saya suka, semangat trus buat semua karyawan nya, dan sehat selalu

Untuk proses pesanan kita, yah bisa dibilang cukup lama, cuman saya rasa itu normal lah buat resto yang rame, pasti pesenan banyak jadi harus antri juga makanan keluar.

Untuk parkir sendiri ya, bisa dibilang kecil banget. Parkir yg persis depan warung nya mungkin cukup sekitar 6 motor tok kalo gak salah. Dan sisanya parkir di seberang jalan, ada kang parkirnya kok, cuman biar lebih aman, mending di kunci stang juga gpp, parkir murah cuman 2 ribu aja.. Anjaaaay...

Yah itu aja dari saya, terimakasih untuk pengalaman bersantap disini, semoga membantu. God Bless You👍"
Ikan bakar keputih kh ahmad dahlan,Keputih,indonesian_restaurant,Murah,4.4,2764,"Saya driver ojol, tgl 9 Maret sekitar jam 19.00 saya ada order makanan, ternyata makanan yg di kemas kurang 1, akhirnya driver yang kena komplain Cust, sedangkan Driver cuman pick up atas pesanan yg terbungkus dari resto, karyawan tidak teliti. Ini saya lagi ngajukan keberatan ke aplikator kenapa yang disalahkan Driver, kok tidak Resto. Tq"
Ikan bakar keputih kh ahmad dahlan,Keputih,indonesian_restaurant,Murah,4.4,2764,"Kesini lagi setelah sekian lama, ekspektasi reunian kayak dulu tiap minggu kesini kalo lagi pengen Seafood. Tempat lebih oke, kebersihan masih kurang, meja masih berminyak. Harga lebih mahal dari sebelumnya, rasa tidak upgrade, jamur crispy bau nggak enak nggak fresh. Porsi nasi dan sambal terlalu sedikit. Bukan lagi tempat mahasiswa kayak dulu nih IBK 🥲 makanya makin sepi."
Hawa Seblak Prasmanan Surabaya ( Keputih ),Keputih,restaurant,Tidak Diketahui,5.0,3,Masakannya enak dan terbaik dengan banyak pilihan topping yang membuat bingung 🤣
Hawa Seblak Prasmanan Surabaya ( Keputih ),Keputih,restaurant,Tidak Diketahui,5.0,3,"Pelayanan Gercep dan ramah , ini seblak beda banget dan wao factor rasanya dan isi komplit"
Hawa Seblak Prasmanan Surabaya ( Keputih ),Keputih,restaurant,Tidak Diketahui,5.0,3,Wow
"Konoae Warung A La Cafe, Keputih",Keputih,cafe,Tidak Diketahui,4.6,521,"Tempat makan yang lumayan strategis lokasinya, ada di jalan raya keputih sebelah sakinah supermarket dan dekat dengan kampus ITS

Tempatnya semi outdoor, agak remang-remang, ada beberapa kipas angin, untuk tempat duduknya ada sekitar 10 meja kursi tapi sangat disayangkan beberapa meja kursinya masih kotor berdebu dan tidak dibersihkan 🥲

Menu makanannya lumayan beragam ada nasi goreng, indomie, dan sate-satean
Untuk nasi gorengnya saya pesan yang nasi goreng krengsengan, porsinya banyak tapi mohon maaf rasanya kurang agak kecut (?) dan untuk satenya saya beli sate kulit, ternyata harus beli 4 tusuk dan harus sama jenisnya

Sebenarnya tempat ini lumayan menarik dan strategis tapi mungkin bisa dibenahi untuk kebersihan tempat dan rasa makanannya

Sukses selalu Konoae 👍🏻"
"Konoae Warung A La Cafe, Keputih",Keputih,cafe,Tidak Diketahui,4.6,521,"Kangen banget sama nasgor krengsengan nya, makin enak rasanya 👍👍"
"Konoae Warung A La Cafe, Keputih",Keputih,cafe,Tidak Diketahui,4.6,521,"Rasanya enak, harganya standart, porsi ukuran banyak 👍👍👍👍.
Parkir sepeda motor bisa, parkir mobil terbatas."
"Konoae Warung A La Cafe, Keputih",Keputih,cafe,Tidak Diketahui,4.6,521,Harganya murah. Pesan nasi goreng rasanya ada asam-asam basi
"Konoae Warung A La Cafe, Keputih",Keputih,cafe,Tidak Diketahui,4.6,521,"Cocok buat nongkrong atau diskusi dengan ga terlalu banyak orang soalnya tempatnya ga terlalu luas, mejanya kecil, 1 meja isi 4 kursi dan mejanya diatur miring2 jadi kalo mau digabung susah dan mungkin bakal ngehalangi jalan. Di sini gaada musholanya tapi... deket banget sama masjid tinggal jalan sebentar. Untuk menunya ada makanan sama minuman. Makanannya nasi, gaada mie. Harganya 9-14rb an. Terus minumannya menurutku rasanya mirip minuman sachet yg coklat2 gitu hehe walaupun di menu namanya beda. Caramel coffee sama cappucinonya ngga manis, rasa aer doang:("
Honey Cafe,Keputih,restaurant,Tidak Diketahui,5.0,44,Makanan nya enak Dan Mbaknya ramah
Honey Cafe,Keputih,restaurant,Tidak Diketahui,5.0,44,"Enak banget untuk soal rasa makanannya, suasana cafenya juga nyaman ajak keluarga juga enak, layanannya cuman agak sedikit lama aja tapi TDK apa"" krna baru bgt buak soal harga terjangkau bgt kok yuk kesini gaes"
Honey Cafe,Keputih,restaurant,Tidak Diketahui,5.0,44,"Cafe Yang sangat Recommended,tempatnya nyaman sangat enak buat nyantai apalagi disupport free wifi dan tempat yang bersih serta Menu yang banyak dengan harga yang sangat ekonomis dikantong...Buruan dech kamu harus nyobain langsung..."
Honey Cafe,Keputih,restaurant,Tidak Diketahui,5.0,44,Makanan dan minumannya murah dan enak
Honey Cafe,Keputih,restaurant,Tidak Diketahui,5.0,44,Suasananya nyaman dan berasa makan dirumah sendiri. Menu enak semua dan murah. Bisa pilih makan di lt 1 atau 2 parkirannya juga aman bgt ditambah AC nya dingin mantab. Jadi betah lama-lama nongkrong.
Sentra Wisata Kuliner Deles,Keputih,food_court,Murah,4.4,2925,"Sentra wisata kuliner Deles, tempat pusat kuliner yang cukup ramai di daerah keputih, tersedia berbagai pilihan tenant makanan maupun minuman dengan harga yang terjangkau, tempat duduk yang banyak, ada fasilitas toilet dan musholla."
Sentra Wisata Kuliner Deles,Keputih,food_court,Murah,4.4,2925,"Banyak pilihan Makanan & Minuman disentra kuliner ini, salah satunya yang paling saya suka yaitu Ferry Seafood. Menu yang saya pesan adalah Ayam Lalapan. Ayamnya sangat gurih dan bumbunya meresap kedalam daging ayamnya sehingga membuat saya selalu pesan di tempat tersebut.

Sebagai saran saja jika anda memesan ayam lalapan, bisa minta ayamnya digoreng kering / agak lama agar  memastikan bahwa ayamnya tidak mentah karena beberapa kali saya mendapat pesanan yang ayamnya masih mentah. Sambalnya sudah pasti enak  namun bagi saya sambalnya terlalu sedikit untuk dimakan 1 orang hahaha

Selain itu tempat parkirnya cukup luas untuk sepeda motor dan mobil.

Lokasi sentra kuliner mudah ditemukan karena berada di pinggir jalan."
Sentra Wisata Kuliner Deles,Keputih,food_court,Murah,4.4,2925,"Baru kali ini melihat sentra kuliner yang jumlah penjualnya banyak sekali. Tempat makannya juga panjang dan bersih. Harga relatif terjangkau karena dilingkungan kampus. Menu makanan bermacam macam, mulai dari soto, rawon, aneka penyetan, geprek, berbagai minuman dll. Tempat parkir juga luas."
Sentra Wisata Kuliner Deles,Keputih,food_court,Murah,4.4,2925,"Tempat duduk tidak memadai, sebagian orang bingung tidak mendapat kursi, Atap bocor sehingga mengganggu kenyamanan pengunjung, meja basah akibat atap bocor tadi, Mungkin perlu evaluasi pada jumlah tempat duduk agar bisa mengatasi membludak nya pelanggan."
Sentra Wisata Kuliner Deles,Keputih,food_court,Murah,4.4,2925,"Wisata kuliner Deles, merupakan foodcourt dengan pilihan berbagai macam makanan dan minum, sangat lengkap dan recommended banget, harga menengah lah yah, porsi ada yang banyak ada yang sedikit tergantung kedai nya. Selamat menikmati makanan dan berbuka bagi yang berpuasa 🙏😁"
Penyetan Bu Yanti Keputih,Keputih,restaurant,Tidak Diketahui,4.8,91,"Langganan lama di sini karena sambalnya yang pedas asli. Tapi tadi sambalnya agak kurang pedas dan terlalu banyak garam. Ikan mujaernya juga keasinan. Sayang banget kalau rasanya berubah, padahal ini salah satu penyetan terbaik di Keputih. Semoga ke depannya rasa pedas sambalnya kembali seperti dulu."
